Menção honrosa melhor dissertação,certificado_ctdseg_mencao_dissertacao_amazon.pdf,"Amazon Biobank: a Blockchain-based Genomic Database for Bioeconomy
Leonardo T. Kimura (USP), Marcos A. Simplicio Jr. (USP)"
Melhor dissertação,certificado_ctdseg_melhor_dissertacao_unveiling.pdf,"Unveiling firmware weaknesses: An approach for large-scale security analysis
Osmany Barros de Freitas (ITA), Lourenço Alves Pereira Júnior (ITA)"
Melhor dissertação,certificado_ctdseg_melhor_dissertacao_atualizacao.pdf,"Atualização Confiável dos Modelos de Detecção de Intrusão Baseada em Aprendizagem de Máquina
Pedro Horchulhack (PUCPR), Altair Santin (PUCPR), Eduardo Viegas (PUCPR)"
Menção honrosa melhor tese,certificado_ctdseg_mencao_tese_high.pdf,"High-Performance Elliptic Curve Cryptography: A SIMD Approach to Modern Curves (Thesis Summary)
Armando Faz Hernandez (Cloudflare, Inc - Mexico), Julio Hernandez (UNICAMP)"
Menção honrosa melhor tese,certificado_ctdseg_mencao_tese_attacking.pdf,"Attacking and defending post-quantum cryptography candidates
Thales Paiva (IME), Routo Terada (USP)"
Melhor tese,certificado_ctdseg_melhor_tese_payment.pdf,"Payment Channel Networks with Resource-constrained Devices
Gabriel Rebello (UFRJ), Luis Henrique Maciel Kosmalski Costa (UFRJ), Maria Potop-Butucaru (Sorbonne Université), Marcelo Dias de Amorim (Sorbonne Université), Otto Carlos Muniz Bandeira Duarte (UFRJ)"
