Revisora destaque,certificado_wticg_revisores_aline.pdf,Aline Lunkes (Universidade Estadual de Montes Claros)
Revisor destaque,certificado_wticg_revisores_andre.pdf,André Grégio (UFPR)
Revisor destaque,certificado_wticg_revisores_bruno.pdf,Bruno Zarpelão (Universidade Estadual de Londrina)
Revisor destaque,certificado_wticg_revisores_charles.pdf,Charles Neu (Newcastle University)
Revisora destaque,certificado_wticg_revisores_cintia.pdf,Cíntia Margi (USP)
Revisor destaque,certificado_wticg_revisores_daniel.pdf,Daniel Marcon (UNISINOS)
Revisor destaque,certificado_wticg_revisores_diego.pdf,Diego Kreutz (UNIPAMPA)
Revisor destaque,certificado_wticg_revisores_diogo.pdf,Diogo Mattos (UFF) 
Revisor destaque,certificado_wticg_revisores_dionisio.pdf,Dionísio Leite (UFMS)
Revisor destaque,certificado_wticg_revisores_eder.pdf,Eder John Scheid (UFRGS)
Revisor destaque,certificado_wticg_revisores_eduardo.pdf,Eduardo Souto (UFAM)
Revisor destaque,certificado_wticg_revisores_emerson.pdf,Emerson Ribeiro de Mello (IFSC)
Revisor destaque,certificado_wticg_revisores_henrique.pdf,Henrique Ferraz Arcoverde (Tempest Security Intelligence)
Revisor destaque,certificado_wticg_revisores_hilder.pdf,Hilder Vitor Lima Pereira (UNICAMP)
Revisora destaque,certificado_wticg_revisores_isadora.pdf,Isadora Ferrão (USP)
Revisor destaque,certificado_wticg_revisores_joao.pdf,João Gondim (UnB)
Revisor destaque,certificado_wticg_revisores_joaquim.pdf,Joaquim Celestino Júnior (UECE)
Revisor destaque,certificado_wticg_revisores_luciano.pdf,Luciano Ignaczak (UNISINOS)
Revisor destaque,certificado_wticg_revisores_luis.pdf,Luis Kowada (UFF)
Revisora destaque,certificado_wticg_revisores_marcia.pdf,Márcia Henke (UFSM)
Revisor destaque,certificado_wticg_revisores_marcus.pdf,Marcus Botacin (Texas A&M University)
Revisor destaque,certificado_wticg_revisores_miguel.pdf,Miguel Franklin de Castro (UFCE)
Revisor destaque,certificado_wticg_revisores_muriel.pdf,Muriel Franco (UFRGS)
Revisora destaque,certificado_wticg_revisores_natalia.pdf,Natália Castro Fernandez (UFF)
Revisor destaque,certificado_wticg_revisores_paulo.pdf,Paulo Freitas de Araújo-Filho (UFPE)
Revisor destaque,certificado_wticg_revisores_paulo_matias.pdf,Paulo Matias (UFSCar)
Revisor destaque,certificado_wticg_revisores_pedro.pdf,Pedro Reis Sá da Costa (Lucerne University of Applied Sciences and Arts)
Revisor destaque,certificado_wticg_revisores_rafael.pdf,Rafael Obelheiro (UDESC)
Revisor destaque,certificado_wticg_revisores_ramon.pdf,Ramon Fontes (UFRN)
Revisor destaque,certificado_wticg_revisores_renan.pdf,Renan Alves (USP)
Revisor destaque,certificado_wticg_revisores_roberto.pdf,Roberto Samarone Araújo (UFPA)
Revisor destaque,certificado_wticg_revisores_robson.pdf,Robson Albuquerque (UnB)
Revisor destaque,certificado_wticg_revisores_rodrigo.pdf,Rodrigo Mansilha (UNIPAMPA)
Revisor destaque,certificado_wticg_revisores_roger.pdf,Roger Immich (UFRN)
Revisor destaque,certificado_wticg_revisores_silvio.pdf,Sílvio Quincozes (UNIPAMPA)
Revisor destaque,certificado_wticg_revisores_vitor.pdf,Vitor Hugo Galhardo Moia (Instituto de Pesquisas Eldorado)
